NUM,PINYIN,EXPECTED (GROUND TRUTH),QWERTY_model-016-23447,NINE_model-014-21074,SWIFTKEY_QWERTY,SWIFTKEY_NINE,FULL_SCORE,QWERTY_model-016-23447 SCORE,NINE_model-014-21074 SCORE,SWIFTKEY_QWERTY SCORE,SWIFTKEY_NINE SCORE
33,woxianggaichengbiedehangban。,我想改成别的航班。,我想该成别的航班。,我想该乘车的航班。,我想改成别的航班。,我想改成别菲薄哈勃。,9,8,6,9,5
34,woxiangqingyiweigerenjiaolian。,我想请一位个人教练。,我想请以为个人教练。,我想请易为个人教练。,我想请以为个人教练。,我想起你以为个人聊聊。,10,8,8,8,4
35,qingwenjilugongjiaochequshizhengfu？,请问几路公交车去市政府？,请问及录贡交车趋是政府？,请问几录公交车趋势政府？,请问几路公交车去市政府？,请问李逵哦迷恋憋屈市政府？,12,7,9,12,5
36,qingbazhershoushiyixia。,请把这儿收拾一下。,请把二而手拾一下。,请把一二收拾一下。,请把这儿收拾一下。,请把这儿瘦失忆症啊。,9,6,7,9,4
37,woxiangdingyizhangqubeijingdejipiao。,我想订一张去北京的机票。,我想定一章区北京的机票。,我想钉你一想去北京的技巧。,我想订一张去北京的机票。,我先给你一张苏北景德技巧。,12,9,7,12,4
38,ninduochangshijianpayicishan？,您多长时间爬一次山？,您多长时间怕一次善？,您多长时间怕一笔片？,您多长时间怕一慈善？,您多长时间怕吸尘器按？,10,8,7,7,5
39,xiexienin，buyongzhaoqianle。,谢谢您，不用找钱了。,谢谢您，不用找钱了。,谢谢您，不用小瞧了。,谢谢您，不用找钱了。,谢谢您，不用照片了。,10,10,8,10,8
40,hahaha，taiyouyisile。,哈哈哈，太有意思了。,哈哈哈，抬有意思了。,哈查，台有意思了。,哈哈哈，太有意思了。,哈哈哈，太有意思了。,10,9,7,10,10
41,wodagedadehenlihai。,我打嗝打得很厉害。,我打哥大的很厉害。,我打哥打得很厉害。,我大哥打得很厉害。,我打个大的很厉害。,9,6,8,7,6
42,ninhaijidejintianwomenyaojianmiandeshiba？,您还记得今天我们要见面的事吧？,您海记的今天我们要见面的事吧？,明刺激的今天我们要见面的是吧？,您还记得今天我们要见面的十八？,您还记得今天我们要见面的十八？,15,13,10,13,13
43,chifanyiqianheyibei，zenmeyang？,吃饭以前喝一杯，怎么样？,吃饭以前喝一杯，怎么样？,吃到以前喝自杯，怎么样？,吃饭以前和一杯，怎么样？,吃饭以前和西北，怎么样？,12,12,10,11,9
44,nincunzainagewenjianjialile？,您存在哪个文件夹里了？,您存在哪个文件家里了？,您存在那个文件价里了？,您存在那个文件夹里了？,您存在那个文件夹里了？,11,10,9,10,10
45,keyihuanyixiazuoweima？,可以换一下座位吗？,可以换一下作为吗？,可以换一下作为吗？,可以换一下作为吗？,可以换一下作为吗？,9,7,7,7,7
46,feichangganxie，danshiwobunengshou。,非常感谢，但是我不能收。,非常感谢，但是我不能收。,非常感谢，但是我不能收。,非常感谢，但是我不能瘦。,非常感谢，但是我不能瘦。,12,12,12,11,11
47,zuijinzhegeyanyuanjingchangchulai。,最近这个演员经常出来。,最近这个演员经常出来。,最近这个演员经常出来。,最近这个演员经常出来。,最近这个演员经常出来。,11,11,11,11,11
48,shiduhengao，fameile。,湿度很高，发霉了。,适都很高，发没了。,师傅很好，大底了。,适度很高，发霉了。,是符合年，发霉了。,9,6,4,8,5
49,qingbaliwubaozhuangyixia。,请把礼物包装一下。,请把礼物包装一下。,请把继续包装一下。,请把礼物包装一下。,请把继续包装纸下。,9,9,7,9,6
50,tamenzhengzaijinxinglihunsusong。,他们正在进行离婚诉讼。,他们正在进行离婚诉讼。,他们正在进行离婚诉讼。,他们正在进行离婚诉讼。,他们正在进行离婚诉讼。,11,11,11,11,11
51,wolaiquganxideyifu。,我来取干洗的衣服。,我来去干息的衣服。,我来去含意的衣服。,我来去干洗的衣服。,我凯瑞波折儿媳妇。,9,7,6,8,2
52,qinggeiwoyizhangqushanghaidedanchengpiao。,请给我一张去上海的单程票。,请给我一张去上海的单成票。,请给我一想去上害得到呈钱。,请给我一张去上海的单程票。,请给我一向如上还得返程票。,13,12,7,13,8
53,bayaoxideyifufenyixialei。,把要洗的衣服分一下类。,把要戏的衣服分以下泪。,把演子的衣服分子下泪。,爸要洗的衣服分一下泪。,吧玩邪恶衣服分析下泪。,11,8,7,9,5
54,ruxuexukeduochangshijiankeyinadao？,入学许可多长时间可以拿到？,入学许可多长时间可以拿到？,如学娱可多长时间可以麻到？,入学许可多长时间可以拿到？,入学娱乐多长时间可以拿到？,13,13,10,13,11
55,zuijinfenmiwubianduole。,最近分泌物变多了。,最近分泌无变多了。,最近分泌物便多了。,最近分泌物便多了。,最近分泌物超多了。,9,8,8,8,8
56,nengdedaosanqiankuaizuoyoudexianjinfuwuma？,能得到三千块左右的现金服务吗？,能得到三千块左右的先金服务吗？,能得到三千块左右的小进服务吗？,能得到三千块左右的现金服务嘛？,能得到三千块左右的现金服务嘛？,15,14,13,14,14
57,gaoerfuqiuchangshiyongfeishiduoshaoqian？,高尔夫球场使用费是多少钱？,高尔夫球场食用飞是多少钱？,高尔夫球场使用飞是多少钱？,高尔夫球长使用费是多少钱？,高尔夫球长使用费是多少钱？,13,11,12,12,12
58,ertonganquanzuoyiyekeyizuma？,儿童安全座椅也可以租吗？,儿童安全作一也可以足吗？,儿童安全作一也可以物吗？,儿童安全座椅也可以租吗？,儿童安全座椅也可以做啊？,12,9,9,12,10
59,mingtianwufanzaiqianmiandegongyuanlichi。,明天午饭在前面的公园里吃。,明天无翻在前面的公园离吃。,明天遇到在前面的公园里吃。,明天午饭在前面的公园里吃。,明天遇到在前面的公园里吃。,13,10,11,13,11
60,woxiangzhaoyifenbiedegongzuo。,我想找一份别的工作。,我想找一分别的工作。,我想找艺的别的工作。,我想找一分别的工作。,我想找一分别德宏做。,10,9,8,9,6
61,chujingkazainarkeyinadao？,出境卡在哪儿可以拿到？,出境在那可以拿到？,处境拉在纳且以麻到？,出境卡在哪儿可以拿到？,出境卡在哪儿可以拿到？,11,8,5,11,11
62,qingzhuangaotawoyoujishi。,请转告他我有急事。,青装搞他我有机时。,请转他我有历史。,请转告他我有急事。,请转告他我有急事。,9,4,6,9,9
63,woxiangbakuchangnongduanxie。,我想把裤长弄短些。,我想把苦畅弄断些。,我想把局长浓断者。,我想把酷长弄段写。,我想把剧场弄段这。,9,6,5,6,5
64,ninyidingnengjianchidaodi。,您一定能坚持到底。,您一定能坚持到底。,您一定能坚持到底。,您一定能坚持到底。,您一定能坚持到底。,9,9,9,9,9
65,zheshizherfujinzuigaojidecanting。,这是这儿附近最高级的餐厅。,这是这附近最高级的惨厅。,这是一尔附近最高级的餐厅。,这是这儿附近最高级的餐厅。,这是这儿附近最高级的餐厅。,13,11,11,13,13
66,jintianzhongguodehuilushiduoshao？,今天中国的汇率是多少？,今天中国的贿赂是多少？,今天中国的规律是多少？,今天中国的贿赂是多少？,今天中国的规律是多少？,11,9,9,9,9
67,wodechedouxiuhaolema？,我的车都修好了吗？,我的车豆修好了吗？,我的爱的女一天了吗？,我的车都修好了吗？,我的车都修好了吗？,9,8,4,9,9
68,qingjianchayixiawodeche。,请检查一下我的车。,请检查一下我的车。,请检查一下我的车。,请检查一下我的车。,请检查一下我的车。,9,9,9,9,9
69,woyezanchengtadeyijian。,我也赞成他的意见。,我也赞成他的意见。,我也要成他的意见。,我也赞成他的意见。,我也完成它的意见。,9,9,8,9,7
70,xiangbishiyixiagaoerfuqiuma？,想比试一下高尔夫球吗？,相必是一下高尔夫球吗？,相比是一下产尔读书吗？,想比试一下高尔夫球吗？,想比试一下高尔夫球吗？,11,8,6,11,11
71,congxiagexingqiliukaishi。,从下个星期六开始。,从下个星期流开始。,从夏个型期就开始。,从下个星期六开始。,从下个星期就开始。,9,8,6,9,8
72,qinggeiwoleijiyixialicheng。,请给我累积一下里程。,请给我累记一下历成。,请给我累力一下继称。,请给我累计一下历程。,请给我累计一下历程。,10,7,7,8,8
73,woyequnar，yiqizouba。,我也去那儿，一起走吧。,我也去拿，一起走吧。,我也去，一起走吧。,我也去哪儿，一起走吧。,我也去哪儿，一起走吧。,11,9,9,10,10
74,ninzhidaonaweishishuima？,您知道那位是谁吗？,您知道那位是谁吗？,您知道哪位是谁吗？,您知道哪位嗜睡吗？,您知道吗为嗜睡吗？,9,9,8,6,5
75,zhegejiagehanzaocanma？,这个价格含早餐吗？,这个价格含早餐吗？,这个价格好玩餐吗？,这个价格韩早餐吗？,这个价格好玩宝马？,9,9,7,8,5
76,woxiangwanghanguoshenqingduifangfufeidianhua。,我想往韩国申请对方付费电话。,我想往韩国申请对方腹费电话。,我想往韩浑申请对方格特电话。,我向往韩国申请对方付费电话。,我向往韩国申请对方付费电话。,14,13,11,13,13
77,woxiwangtongwushihanguoren。,我希望同屋是韩国人。,我希望通物是韩国人。,我希望同于是韩国人。,我希望同屋是韩国人。,我希望同于是韩国人。,10,8,9,10,9
78,namenkehenshouhuanying，deijinkuaixuan。,那门课很受欢迎，得尽快选。,那门可很受欢迎，得尽快选。,那门可很受欢迎，非尽快源。,纳闷可恨受欢迎，得尽快选。,纳闷了很受欢迎，得尽快元。,13,12,10,9,9
79,jingranzuochunazhongshi，bujuedexiukuima？,竟然做出那种事，不觉得羞愧吗？,竟然作出那种视，不觉得羞愧吗？,竟然做出那种事，不觉得主愧吗？,竟然做出纳重视，不觉得羞愧吗？,竟然做出纳重视，不觉得羞愧吗？,15,13,14,12,12
80,ditiezhanfujinyoufangzima？,地铁站附近有房子吗？,地铁战附近有房子吗？,地铁小附近有房子吗？,地铁站附近有房子吗？,地铁站附近有房子吗？,10,9,9,10,10
81,shangkeshiqingbuyaodakeshui。,上课时请不要打瞌睡。,上课事请不要大瞌睡。,上课事情不要打了睡。,上课事情不要打瞌睡。,上课事情不要打瞌睡。,10,8,7,8,8
82,qingbuyaofangniunai，fangdounai。,请不要放牛奶，放豆奶。,请不要放牛奶，放斗奶。,请不要打牛奶，当斗买。,请不要放牛奶，放豆奶。,请不要放牛奶，当豆奶。,11,10,7,11,10
83,nindexinglishishouti，haishituoyun？,您的行李是手提，还是托运？,您的行历是手提，海师拖晕？,您的赢历是手提，该是脱做？,您的行李是手提，还是托运？,您的行李是手提，还是托运？,13,8,8,13,13
84,duibuqi，lingjianmaibudao。,对不起，零件买不到。,对不起，领件买不到。,对不起，经教买不到。,对不起，零件买不到。,对不起，零件买不到。,10,9,8,10,10
85,woxiangbanliruzhushouxu。,我想办理入住手续。,我想办理如驻手续。,我想办理入住手续。,我想办理入住手续。,我想班机入住手续。,9,7,9,9,7
86,zhejiacantingqifenzenmeyang？,这家餐厅气氛怎么样？,这家餐厅气氛怎么样？,这家宝厅气氛怎么样？,这家餐厅气氛怎么样？,这家餐厅起分文呢网？,10,10,9,10,5
87,qingjinkenengjianduandetonghua。,请尽可能简短地通话。,请尽可能简短的通话。,请进可能简短的通话。,请尽可能简短的童话。,请尽可能简短的童话。,10,9,8,8,8
88,qinggeiwoanpaiyigeqiutong。,请给我安排一个球童。,请给我安排一个球童。,请给我安排一个球通。,请给我安排一个求同。,请给我安排一个疏通。,10,10,9,8,8
89,duchanglidouyoushenmeyouxi？,赌场里都有什么游戏？,赌长里斗有什么游戏？,赌场节目有什么游戏？,赌场里都有什么游戏？,赌场节目有什么游戏？,10,8,8,10,8
90,quzhongyangbowuguanzainarxiache？,去中央博物馆在哪儿下车？,曲中央博物馆在难下车？,如中要毫博无关在那排车？,去中央博物馆在哪儿下车？,去中央博物馆在哪儿下车？,12,9,4,12,12
91,najianyifudeiyunyixia。,那件衣服得熨一下。,那建衣服的云一下。,那叫易付费做一下。,那件衣服得晕一下。,那件衣服得做一下。,9,6,4,8,8
92,qingnidaitiwofuzegongzuo。,请你代替我负责工作。,请你带替我负责工作。,请你发挥我负责工作。,请你代替我负责工作。,请你大会我负责工作。,10,9,8,10,8
93,womeitianshuijiaozhiqiandouxizao。,我每天睡觉之前都洗澡。,我每天谁浇之前斗洗澡。,我每天谁浇至少斗一眼。,我每天睡觉之前都洗澡。,我每天睡觉之前都洗澡。,11,8,4,11,11
94,meigezhoumodouyiqichiwanfan。,每个周末都一起吃晚饭。,每个周末豆一起吃晚饭。,每个周末斗子起吃完饭。,每个周末都一起吃晚饭。,每个周末都一起吃晚饭。,11,10,8,11,11
95,qinggaosuwobaoxiangongsidedianhua。,请告诉我保险公司的电话。,请告诉我保险公司的电话。,情告诉我抱险公司的电话。,请告诉我保险公司的电话。,请告诉我保险公司的电话。,12,12,10,12,12
96,qinggeiwokankanlansede。,请给我看看蓝色的。,请给我看看蓝色的。,请给我看看蓝热的。,请给我看看蓝色的。,请给我看看蓝色的。,9,9,8,9,9
97,qingninchouchuyidianshijian。,请您抽出一点时间。,请您抽出一点时间。,请您后出一点时间。,请您抽搐一点时间。,请您抽搐一点时间。,9,9,8,8,8
98,qingdaozhegexingqiwuweizhiyidingwancheng。,请到这个星期五为止一定完成。,请岛这个星期无位置一定完成。,青岛这个星期五为之一定完成。,请到这个星期五位置一定完成。,请到这个星期五位置一定完成。,14,10,11,12,12
99,hao，jidanheyouzainar？,好，鸡蛋和油在哪儿？,好，鸡蛋和悠在纳？,好，鸡蛋各有在麻瑟,好，几单核又在哪儿？,好，里饭盒又在哪儿？,10,7,5,6,6
100,wuyefeiyigeyuedagaishiduoshao？,物业费一个月大概是多少？,物业费一个月大概是多少？,吴业费一个月大概是多少？,物业费一个月大概是多少？,物业费一个月大概是多少？,12,12,11,12,12
101,yuanlaizaizher，danshixianzaimeiyoule。,原来在这儿，但是现在没有了。,原来再这，但是现在没有了。,原来在意儿，但是现在没有了。,原来在这儿，但是现在没有了。,原来在这儿，但是现在没有了。,14,12,13,14,14
102,fujinyouzhidekankandedifangma？,附近有值得看看的地方吗？,附近有值得看看的地方吗？,附近有值得看看的地方吗？,附近有值得看看的地方吗？,附近有值得看看的地方吗？,12,12,12,12,12
103,shide，zuotianbanjiale。,是的，昨天搬家了。,是的，昨天搬家了。,是的，昨天参加了。,使得，昨天搬家了。,使得，昨天参加了。,9,9,7,7,5
104,qutanggongchangdeiduochangshijian？,去趟工厂得多长时间？,去唐工厂的多长时间？,如糖工厂多长时间？,去趟工厂得多长时间？,去趟工厂得多长时间？,10,8,7,10,10
105,bufangqidehua，nihuihenweixiande。,不放弃的话，你会很危险的。,不放弃的话，你会很危险的。,不放弃的话，你会很危险的。,不放弃的话，你会很危险的。,不放弃的话，你会很危险的。,13,13,13,13,13
106,darenyibai，xiaohairwushi。,大人一百，小孩儿五十。,大人一百，小孩无士。,大人意次，相搜是。,大人一百，小孩儿五十。,大人渣爱，小孩儿于是。,11,8,4,11,7
107,zhegechengshiliyoushenmeluyoujingdianma？,这个城市里有什么旅游景点吗？,这个城市里由什么录游经典吗？,这个城市里有什么具有经典吗？,这个城市里有什么路由景点吗？,这个城市里有什么旅游景点吗？,14,10,10,12,14
108,qingnibafangjiandasaoyixia。,请你把房间打扫一下。,请你把房间打扫一下。,请你把房间大盘一下。,请你把房间打扫一下。,请你把房间打扰一下。,10,10,8,10,9
109,duibuqi，wowanglewodefangjianhaole。,对不起，我忘了我的房间号了。,对不起，我忘了我的房间好了。,对不起，我忘了我的房间好了。,对不起，我忘了我的房间号了。,对不起，我忘了我的房间号了。,14,13,13,14,14
110,ninyaobuyaohewoyiqichidunfan？,您要不要和我一起吃顿饭？,您要不要和我一起吃顿饭？,您要不要和我一起吃顿饭？,您要不要和我一起吃顿饭？,您要不要和我一起吃顿饭？,12,12,12,12,12
111,zaoshangwoyidingyaohekafei。,早上我一定要喝咖啡。,早上我一定要喝咖啡。,晚上我一定要喝拉啡。,早上我一定要喝咖啡。,晚上我一定要喝咖啡。,10,10,8,10,9
112,kaoshijieshulexinqinghenqingsong。,考试结束了心情很轻松。,考试结束了心情很轻松。,老师结束了心情很轻松。,考试结束了心情很轻松。,考试结束了心情很轻松。,11,11,9,11,11
113,ninshangbanshangdaoshenmeshihou？,您上班上到什么时候？,您上班上到什么时候？,民上班上到什么时候？,您上班上到什么时候？,您上班抢到什么时候？,10,10,9,10,9
114,shide，nindailailema？,是的，您带来了吗？,是的，您带来了吗？,是的，您带来了吗？,使得，您带来了吗？,使得，您带来了吗？,9,9,9,7,7
115,hetongqishiduochangshijian？,合同期是多长时间？,合同其是多长时间？,合同四十多长时间？,合同其实多长时间？,个同期是多长时间？,9,8,7,7,8
116,duokuilenin，woyidiandoubudanxinle。,多亏了您，我一点都不担心了。,多亏了您，我一点逗不担心了。,多亏了您，我一点斗不担心了。,多亏了您，我一点都不担心了。,多亏了您，我一点都不担心了。,14,13,13,14,14
117,keyiyongzhegexinyongkama？,可以用这个信用卡吗？,可以用这个信用开吗？,可以用这个信用考？,可以用这个信用卡吗？,可以用这个信用卡吗？,10,9,8,10,10
118,ruxuezhucejiezhiriqishishenmeshihou？,入学注册截止日期是什么时候？,入学主测界止日起是什么时候？,如学注册戒之日起是什么时候？,入学注册截止日其实什么时候？,入学注册截止日其实什么时候？,14,10,10,12,12
119,qinggeiwoshouju，wohaodaoche。,请给我收据，我好倒车。,请给我收局，我好到车。,请给我收苦，我感到别。,请给我收据，我好倒车。,请给我收录，我感到别。,11,9,7,11,7
120,hao，wozaigeinindadianhua。,好，我再给您打电话。,好，我再给您打电话。,好，我再给您打电话。,好，我在给您打电话。,好，我在给您打电话。,10,10,10,9,9
121,daoshizhengfuhaiyoujizhan？,到市政府还有几站？,倒是政府海有击站？,但是政府该有极站？,到市政府还游击战？,但是政府还游击战？,9,5,5,6,4
122,woxuedehennuli，yinggaikeyinadaohaoxuefenba。,我学得很努力，应该可以拿到好学分吧。,我学的很努力，应该可以拿到好学分吧。,我学得很努力，应该可以拿到学份吧。,我学得很努力，应该可以拿到好学分吧。,我月的很努力，应该可以拿到好月份吧。,18,17,16,18,14
123,haode，cheyaoshizaizher。,好的，车钥匙在这儿。,好的，车要是再这。,好的，别玩是在意儿。,好的，车钥匙在这儿。,好的，车钥匙在这儿。,10,6,6,10,10
124,lihundezerenzaishuine？,离婚的责任在谁呢？,离婚的责任在谁呢？,离婚的责任在谁么？,离婚的责任再睡呢？,离婚的责任再睡呢？,9,9,8,7,7
125,biedekerendouzaiketing。,别的客人都在客厅。,别的客人斗在客厅。,别的客人斗在客厅。,别的客人都在客厅。,别的客人都在客厅。,9,8,8,9,9
126,mingtianzaoshangqingjiaoxingwo。,明天早上请叫醒我。,明天早上情教醒我。,明天晚上情叫行我。,明天早上请教行我。,明天早上请教硬卧。,9,7,6,7,6
127,wozaixiayigelukouxiache。,我在下一个路口下车。,我在下一个路口下车。,我在下一个骷口下车。,我在下一个路口下车。,我在下一个路口下车。,10,10,9,10,10
128,zhejianyifuwomingtianyaochuan，qingkuaidian。,这件衣服我明天要穿，请快点。,这件衣服我明天谣传，情快点。,这叫易副我明天早传，情快点。,这件衣服我明天要穿，请快点。,这件衣服我明天要穿，请快点。,14,11,8,14,14
129,weishenmelaiwomengongsiyingpin？,为什么来我们公司应聘？,为什么来我们公司应品？,为什么来我们公司行聘？,为什么来我们公司应聘？,为什么来我们公司应聘？,11,10,10,11,11
130,nengkankannindejipiaoma？,能看看您的机票吗？,能看看您的机票吗？,能看看您的技巧吗？,能看看您的机票吗？,能看看您的机票吗？,9,9,7,9,9
131,feichanghaochi，fengweidute。,非常好吃，风味独特。,非常好吃，风味独特。,非常好吃，风味独特。,非常好吃，风味独特。,非常好吃，风味独特。,10,10,10,10,10
132,qinggeiwobanyigezhipiaobu。,请给我办一个支票簿。,请给我把一个置票补。,请给我抱一个之前部。,请给我办一个支票不。,请给我报纸遏制钱不。,10,7,6,9,4
133,huanwanledehuayaofakuanma？,还晚了的话要罚款吗？,还完了的话要罚款吗？,还要克的话要打款吗？,换完了的话要罚款吗？,换完了的话研发乱码？,10,9,7,8,4
134,pifushangzhangleqiguaidedongxi。,皮肤上长了奇怪的东西。,皮肤上涨了奇怪的东西。,皮肤上涨了奇怪态的东西。,皮肤上涨了奇怪的东西。,皮肤上涨了奇怪的东西。,11,10,9,10,10
135,zuihouyiciyuejingshishenmeshihou？,最后一次月经是什么时候？,最后一次月经是什么时候？,最后一次月经是什么时候？,最后一次月经是什么时候？,最后一次月经是什么时候？,12,12,12,12,12
136,tianqiyubaonameshuode。,天气预报那么说的。,天气与报那么说的。,天气五报那么说的。,天气预报那么说的。,天气预报那么说的。,9,8,8,9,9
137,woxiangyaoliangzhangdanrenchuangdefangjian。,我想要两张单人床的房间。,我想要两张担任床的房间。,我想要讲想担人床的房间。,我想要两张单人床的房间。,我想要亮相单人床的房间。,12,10,9,12,10
138,touhaoxiangyaozhakaileyiyang。,头好像要炸开了一样。,头好像要炸开了一样。,头好像要下来了一样。,头好像要炸开了一样。,头好像要下来了一样。,10,10,8,10,8
139,qingnihuanlingyizhongshuofajieshiyixia。,请你换另一种说法解释一下。,请你还另一种说法解释一下。,请你环另一种说法解释一下。,请你换另一种说法解释一下。,请你换另一种说法解释一下。,13,12,12,13,13
